id,device_name,vendor,category,modified,price_usd,price_basis,price_quality,price_as_of,msrp_usd,memory_capacity_gb,gpu_addressable_memory_note,local_memory_bandwidth_gbs,memory_type,fp16_tflops,tensor_tflops,cuda_supported,standalone_system,pcie,nvlink,thunderbolt5,connectx7,capacity_sharding,tensor_parallel,caveats
rtx8000,Quadro RTX 8000 48GB,NVIDIA,discrete GPU,no,2219,current active used asking price,medium,2026-08,10000,48,48GB VRAM,672,GDDR6,32.6,130.5,yes,no,PCIe 3.0 x16,yes,no,no,yes,yes,"Enterprise card providing 48GB native VRAM and NVLink support for under $2,300."
rtx4080_32_mod,RTX 4080 32GB mod,NVIDIA,discrete GPU,yes,2350,recent observed modified-card asking price,low,2026-08,,32,32GB modded VRAM; unofficial configuration,716.8,GDDR6X,48.7,390.0,yes,no,PCIe 4.0 x16,no,no,no,yes,yes,Unofficial 32GB memory modification. Low-current price row; verify seller and cooling.
dual_rtx3090_48,Dual RTX 3090 48GB (NVLink Rig),NVIDIA,discrete GPU,no,2400,2x used RTX 3090 ($1200 ea) + NVLink bridge,medium,2026-08,2998,48,48GB aggregate across 2 GPUs with 112.5 GB/s NVLink bridge,936,GDDR6X,71.2,284.0,yes,no,PCIe 4.0 x16 dual,yes,no,no,yes,yes,Workhorse dual-GPU workstation rig. Holds 70B models at Q4/Q5 with excellent token generation speeds.
m4max36,Mac Studio M4 Max 36GB,Apple,unified-memory system,no,2499,Apple direct 36GB/512GB configuration,high,2026-08,2499,36,36GB unified memory shared by CPU/GPU,410,unified LPDDR,40.0,65.0,no,yes,integrated SoC,no,yes,no,yes,yes,"Complete standalone computer ($0 extra host cost). Unified memory shares 36GB across macOS, display & GPU."
rtx4080s_32_mod,RTX 4080 Super 32GB mod,NVIDIA,discrete GPU,yes,2550,current eBay asking price for 32GB modified card,medium,2026-08,,32,32GB modded VRAM,736,GDDR6X,52.2,418.0,yes,no,PCIe 4.0 x16,no,no,no,yes,yes,Unofficial 32GB Ada Lovelace mod card. 736 GB/s bandwidth with powerful FP8 Tensor Core compute.
rtx5090,RTX 5090 32GB,NVIDIA,discrete GPU,no,3700,current representative market listing,medium,2026-08,1999,32,32GB GDDR7 VRAM,1792,GDDR7,105.0,1680.0,yes,no,PCIe 5.0 x16,no,no,no,yes,yes,"Blackwell consumer flagship with 1,792 GB/s GDDR7 memory and 512-bit bus. No NVLink."
a6000,RTX A6000 48GB,NVIDIA,discrete GPU,no,3999,current representative used asking price,medium,2026-08,4650,48,48GB VRAM,768,GDDR6 ECC,38.7,154.8,yes,no,PCIe 4.0 x16,yes,no,no,yes,yes,"Workstation Ampere flagship with 48GB ECC VRAM, 768 GB/s bandwidth, and 112.5 GB/s NVLink bridge capability."
gx10,ASUS Ascent GX10 128GB,ASUS,unified-memory system,no,3999,ASUS US official support price,medium,2026-08,,128,128GB coherent unified system memory,273,LPDDR5X unified,140.0,280.0,yes,yes,GB10 integrated platform,NVLink-C2C,no,yes,yes,possible,"GB10 integrated personal supercomputer with 128GB unified memory, NVLink-C2C and ConnectX-7 clustering."
amd_halo_128,AMD Ryzen AI Max+ 395 Halo 128GB,AMD,unified-memory system,no,3999,AMD Halo developer platform retail price,high,2026-05,,128,128GB unified memory,256,LPDDR5X unified,60.0,90.0,no,yes,integrated APU,no,no,no,yes,possible,AMD APU workstation with 128GB unified LPDDR5X. Multi-node llama.cpp RPC demonstrated.
rtx4090_48_mod,RTX 4090 48GB mod,NVIDIA,discrete GPU,yes,4500,recent completed eBay auction for 48GB modified card,medium,2026-06,,48,48GB modded VRAM,1008,GDDR6X,82.6,660.0,yes,no,PCIe 4.0 x16,no,no,no,yes,yes,"Unofficial custom 48GB mod on full AD102 core. 1,008 GB/s bandwidth and massive compute throughput."
dgx_spark,NVIDIA DGX Spark 128GB,NVIDIA,unified-memory system,no,4699,NVIDIA marketplace direct,high,2026-08,,128,128GB unified system memory,273,LPDDR5X unified,140.0,280.0,yes,yes,GB10 platform,NVLink-C2C,no,yes,yes,yes,"Official NVIDIA personal AI workstation with 128GB unified system memory, ConnectX-7 RDMA and Blackwell architecture."
m3ultra96,Mac Studio M3 Ultra 96GB,Apple,unified-memory system,no,5299,Apple direct 28C CPU / 60C GPU / 96GB,high,2026-08,5299,96,96GB unified memory,819,unified LPDDR,65.0,105.0,no,yes,integrated SoC,no,yes,no,yes,yes,96GB unified memory with 819 GB/s bandwidth. Full standalone system with TB5 RDMA clustering.
quad_rtx3090_96,Quad RTX 3090 96GB Workstation,NVIDIA,discrete GPU,no,5500,4x RTX 3090 + multi-GPU mining/workstation motherboard & 1600W PSU,medium,2026-08,6500,96,96GB aggregate VRAM across 4 GPUs,936,GDDR6X,142.4,568.0,yes,no,PCIe 4.0 x8/x8/x8/x8,yes (2 pairs),no,no,yes,yes,Popular DIY 96GB high-throughput rig. Runs 70B unquantized at FP16 or 120B/405B at Q4.
m2ultra192,Mac Studio M2 Ultra 192GB,Apple,unified-memory system,no,6599,Apple refurbished/retail 192GB M2 Ultra,high,2026-08,6999,192,192GB unified memory,800,unified LPDDR5,56.0,90.0,no,yes,integrated SoC,no,no,no,yes,yes,192GB unified memory allows running 70B at FP16 or DeepSeek 671B / Llama 405B at Q2.5-Q3 with zero discrete GPU cluster complexity.
rtx6000_ada_48,RTX 6000 Ada Generation 48GB,NVIDIA,discrete GPU,no,6800,current authorized retailer pricing,high,2026-08,6800,48,48GB GDDR6 ECC VRAM,960,GDDR6 ECC,91.1,728.0,yes,no,PCIe 4.0 x16,no,no,no,yes,yes,"Ada Lovelace workstation flagship. 48GB ECC VRAM, 960 GB/s bandwidth, 300W TDP blower card for dense workstations."
m3ultra256_refurb,Mac Studio M3 Ultra 256GB,Apple,unified-memory system,no,8319,historical Apple Certified Refurbished observation,medium,2026-08,,256,256GB unified memory,819,unified LPDDR,65.0,105.0,no,yes,integrated SoC,no,yes,no,yes,yes,Massive 256GB unified RAM capable of running 70B models at FP16 or 405B at Q4 in a compact desktop.
rtxpro6000_bw,RTX PRO 6000 Blackwell 96GB,NVIDIA,discrete GPU,no,16000,NVIDIA marketplace direct,high,2026-08,16000,96,96GB ECC VRAM,1792,GDDR7 ECC,125.0,1850.0,yes,no,PCIe 5.0 x16,no,no,no,yes,yes,"Enterprise Blackwell Workstation Edition with 96GB GDDR7 ECC VRAM and 1,792 GB/s local memory bandwidth."
m3ultra512_refurb,Mac Studio M3 Ultra 512GB,Apple,unified-memory system,no,17589,historical Apple Certified Refurbished reference,medium,2026-08,18999,512,512GB unified memory,819,unified LPDDR,65.0,105.0,no,yes,integrated SoC,no,yes,no,yes,yes,Single-desktop memory titan. 512GB unified memory runs DeepSeek R1 671B or Llama 405B locally.
amd_mi300x_192,AMD Instinct MI300X 192GB,AMD,discrete GPU,no,19999,OEM / Cloud accelerator purchase estimate,medium,2026-08,20000,192,192GB HBM3 VRAM,5300,HBM3,653.0,1300.0,no,no,OAM / PCIe 5.0,Infinity Fabric (896 GB/s),no,no,yes,yes,"Unbelievable 5,300 GB/s HBM3 memory bandwidth and 192GB VRAM on a single accelerator. ROCm enterprise stack."
nvidia_h100_pcie_80,NVIDIA H100 80GB PCIe,NVIDIA,discrete GPU,no,31000,current authorized distributor pricing,high,2026-08,30000,80,80GB HBM3 VRAM,2000,HBM3,375.0,750.0,yes,no,PCIe 5.0 x16,yes (600 GB/s bridge),no,no,yes,yes,"Hopper datacenter powerhouse. 2,000 GB/s HBM3 bandwidth, FP8 Transformer Engine, and 600 GB/s NVLink."
nvidia_gh200_480,NVIDIA GH200 Grace Hopper Superchip,NVIDIA,unified-memory system,no,38000,OEM workstation server node reference,high,2026-08,40000,576,96GB HBM3 + 480GB LPDDR5X coherent memory,4000,HBM3 + LPDDR5X NVLink-C2C,495.0,990.0,yes,yes,Integrated Grace Hopper,yes (900 GB/s NVLink-C2C),no,yes,yes,yes,Combines 72-core Grace CPU with Hopper GPU via 900 GB/s bidirectional NVLink-C2C. Holds massive models natively.
nvidia_h100_nvl_pair_188,Dual NVIDIA H100 NVL 188GB (NVLink Pair),NVIDIA,discrete GPU,no,72000,2x H100 NVL 94GB PCIe + 3-slot NVLink bridge,high,2026-08,75000,188,188GB aggregate HBM3 across 2 GPUs with 600 GB/s NVLink bridge,3900,HBM3,835.0,1670.0,yes,no,PCIe 5.0 x16 dual,yes (600 GB/s NVLink),no,no,yes,yes,"Purpose-built dual-GPU LLM inference solution. 3,900 GB/s bandwidth per GPU and 188GB total memory."
nvidia_dgx_station_h100,NVIDIA DGX Station H100 320GB Supercomputer,NVIDIA,unified-memory system,no,115000,OEM / NVIDIA authorized enterprise workstation price,high,2026-08,125000,320,4x H100 80GB SXM5 + NVSwitch fully interconnected,3350,HBM3 SXM5,1500.0,3000.0,yes,yes,Integrated SXM5,yes (900 GB/s NVSwitch),no,yes,yes,yes,The $100k+ enterprise workstation beast. 4x H100 SXM5 with 900 GB/s all-to-all NVSwitch. Runs frontier models at blazing speeds.
nvidia_dgx_b200_beast,NVIDIA DGX B200 1.44TB Supercomputer,NVIDIA,unified-memory system,no,280000,NVIDIA Enterprise direct DGX B200 system estimate,high,2026-08,300000,1440,"8x B200 180GB HBM3e + 1,800 GB/s NVLink 5 NVSwitch",8000,HBM3e,7200.0,14400.0,yes,yes,Integrated B200 NVLink 5,"yes (1,800 GB/s NVLink 5)",no,yes,yes,yes,"The ultimate AI supercomputer. 8x Blackwell B200 GPUs with 1.44TB aggregate HBM3e and 1,800 GB/s NVLink 5 fabric."
